store_nbr,city,state,type,cluster,total_sales,sales_days,in_universe,sales_active,transaction_days,transaction_active,is_active,sales_size_group,store_stratum
24,Guayaquil,Guayas,D,1,4058473.8,226,True,True,226,True,True,large,Guayas|Guayaquil|D|1|large
25,Salinas,Santa Elena,D,1,2137267.0,227,True,True,227,True,True,small,Santa Elena|Salinas|D|1|small
26,Guayaquil,Guayas,D,10,1163097.0,226,True,True,226,True,True,small,Guayas|Guayaquil|D|10|small
27,Daule,Guayas,D,1,3507027.5,226,True,True,226,True,True,medium,Guayas|Daule|D|1|medium
28,Guayaquil,Guayas,E,10,3420309.0,226,True,True,226,True,True,medium,Guayas|Guayaquil|E|10|medium
29,Guayaquil,Guayas,E,10,2810076.2,226,True,True,226,True,True,medium,Guayas|Guayaquil|E|10|medium
30,Guayaquil,Guayas,C,3,1306217.9,226,True,True,226,True,True,small,Guayas|Guayaquil|C|3|small
31,Babahoyo,Los Rios,B,10,3018869.0,226,True,True,226,True,True,medium,Los Rios|Babahoyo|B|10|medium
32,Guayaquil,Guayas,C,3,1130630.4,226,True,True,226,True,True,small,Guayas|Guayaquil|C|3|small
33,Quevedo,Los Rios,C,3,2200351.2,226,True,True,226,True,True,small,Los Rios|Quevedo|C|3|small
34,Guayaquil,Guayas,B,6,2570170.2,226,True,True,226,True,True,medium,Guayas|Guayaquil|B|6|medium
35,Playas,Guayas,C,3,1285331.4,226,True,True,226,True,True,small,Guayas|Playas|C|3|small
36,Libertad,Guayas,E,10,2749430.5,226,True,True,226,True,True,medium,Guayas|Libertad|E|10|medium
37,Cuenca,Azuay,D,2,3185796.0,226,True,True,226,True,True,medium,Azuay|Cuenca|D|2|medium
38,Loja,Loja,D,4,3005988.0,226,True,True,226,True,True,medium,Loja|Loja|D|4|medium
39,Cuenca,Azuay,B,6,3739070.0,226,True,True,226,True,True,large,Azuay|Cuenca|B|6|large
40,Machala,El Oro,C,3,3504945.0,226,True,True,226,True,True,medium,El Oro|Machala|C|3|medium
41,Machala,El Oro,D,4,2945114.2,226,True,True,226,True,True,medium,El Oro|Machala|D|4|medium
42,Cuenca,Azuay,D,2,3065485.0,226,True,True,226,True,True,medium,Azuay|Cuenca|D|2|medium
43,Esmeraldas,Esmeraldas,E,10,3286373.8,226,True,True,226,True,True,medium,Esmeraldas|Esmeraldas|E|10|medium
44,Quito,Pichincha,A,5,10490120.0,226,True,True,226,True,True,large,Pichincha|Quito|A|5|large
45,Quito,Pichincha,A,11,9655921.0,226,True,True,226,True,True,large,Pichincha|Quito|A|11|large
46,Quito,Pichincha,A,14,7237314.0,226,True,True,226,True,True,large,Pichincha|Quito|A|14|large
47,Quito,Pichincha,A,14,9069117.0,226,True,True,226,True,True,large,Pichincha|Quito|A|14|large
48,Quito,Pichincha,A,14,6016146.5,226,True,True,226,True,True,large,Pichincha|Quito|A|14|large
49,Quito,Pichincha,A,11,8384248.5,226,True,True,226,True,True,large,Pichincha|Quito|A|11|large
50,Ambato,Tungurahua,A,14,4915227.0,226,True,True,226,True,True,large,Tungurahua|Ambato|A|14|large
51,Guayaquil,Guayas,A,17,5364284.0,226,True,True,226,True,True,large,Guayas|Guayaquil|A|17|large
52,Manta,Manabi,A,11,2696169.8,118,True,True,118,True,True,medium,Manabi|Manta|A|11|medium
53,Manta,Manabi,D,13,2711539.2,226,True,True,226,True,True,medium,Manabi|Manta|D|13|medium
54,El Carmen,Manabi,C,3,2069327.6,226,True,True,226,True,True,small,Manabi|El Carmen|C|3|small
